,Media Source,Date,Text,Tweets Ago,Compound,Negative,Neutral,Positive
71,BBC News (UK),Wed Nov 07 07:06:13 +0000 2018,"RT @BBCWorld: US mid-terms update:

•  Democrats win control of House of Representatives
•  Republicans retain control of Senate
•  Record…",72,0.5859,0.817,0.0,0.183
72,BBC News (UK),Wed Nov 07 06:45:32 +0000 2018,"RT @BBCWorld: Democrat Nancy Pelosi says her party's take-back of the House of Representatives will help restore ""checks and balances"" to P…",73,0.5994,0.803,0.0,0.197
73,BBC News (UK),Wed Nov 07 06:37:26 +0000 2018,US mid-terms latest: Five key things we learned https://t.co/3tfeRzwXxb,74,0.0,1.0,0.0,0.0
74,BBC News (UK),Wed Nov 07 06:28:51 +0000 2018,RT @BBCWorld: US mid-terms latest: Five key things we learned https://t.co/L9AZ26i3Oh,75,0.0,1.0,0.0,0.0
75,BBC News (UK),Wed Nov 07 05:59:24 +0000 2018,"RT @BBCWorld: US mid-term election results 2018:

•  Democrats take control of House of Representatives
•  Donald Trump congratulates Democ…",76,0.0,1.0,0.0,0.0
76,BBC News (UK),Wed Nov 07 05:35:35 +0000 2018,"RT @BBCBreaking: Democrats win back control of the House of Representatives #Midterms2018

Republicans retain control of the Senate, with k…",77,0.5859,0.833,0.0,0.167
77,BBC News (UK),Wed Nov 07 05:30:34 +0000 2018,"Man, 98, fighting for life after robbery in Enfield home https://t.co/AQC1RmsJsV",78,-0.3612,0.8,0.2,0.0
78,BBC News (UK),Wed Nov 07 05:16:01 +0000 2018,"RT @BBCWorld: Republicans retain control of the Senate, with key victories in Indiana, Texas and North Dakota. Democrats are projected to w…",79,0.0,1.0,0.0,0.0
79,BBC News (UK),Wed Nov 07 05:04:33 +0000 2018,"RT @BBCWorld: ""We have all had enough of division""

House Democrat leader Nancy Pelosi says her party will pursue a bipartisan agenda as De…",80,0.4019,0.891,0.0,0.109
80,BBC News (UK),Wed Nov 07 05:03:58 +0000 2018,RT @BBCWorld: Indonesian plane grounded after passengers complain about stinky durian https://t.co/7uux8f1AN0,81,-0.6124,0.667,0.333,0.0
81,BBC News (UK),Wed Nov 07 04:51:08 +0000 2018,Relief at social networks as defences hold - for now https://t.co/DrbqQA7rKQ,82,0.4404,0.65,0.098,0.252
82,BBC News (UK),Wed Nov 07 04:19:47 +0000 2018,Heathrow lighting failure disrupts flights https://t.co/5wxsOb7AoH,83,-0.5106,0.602,0.398,0.0
83,BBC News (UK),Wed Nov 07 03:59:46 +0000 2018,Architects: 'Beautiful' that Tom is still in our music after death https://t.co/N6S2Yn5Jqk,84,-0.5994,0.738,0.262,0.0
84,BBC News (UK),Wed Nov 07 03:35:21 +0000 2018,Mid-term elections 2018: Trump's Republicans hold on to Senate https://t.co/WBTwu2LnWC,85,0.0,1.0,0.0,0.0
85,BBC News (UK),Wed Nov 07 03:27:52 +0000 2018,"RT @BBCBreaking: Donald Trump's Republicans projected to retain control of Senate, with Democrats on course to win House of Representatives…",86,0.5859,0.833,0.0,0.167
86,BBC News (UK),Wed Nov 07 03:15:31 +0000 2018,"RT @BBCWorld: #Midterms2018 update: Republicans need 5 more seats to win the Senate

Follow our live coverage here: https://t.co/rbOzM6gXJW…",87,0.6204,0.807,0.0,0.193
87,BBC News (UK),Wed Nov 07 02:41:30 +0000 2018,Mid-term election results: Key takeaways so far https://t.co/tfnHQ1d9II,88,0.0,1.0,0.0,0.0
88,BBC News (UK),Wed Nov 07 02:12:02 +0000 2018,Supermarket bakeries 'unclear on allergies' https://t.co/K6kyl62EXf,89,-0.25,0.714,0.286,0.0
89,BBC News (UK),Wed Nov 07 02:03:20 +0000 2018,Girl Scouts sue Boy Scouts over planned name change https://t.co/MdKjZ6b48n,90,0.0,1.0,0.0,0.0
90,BBC News (UK),Wed Nov 07 01:50:48 +0000 2018,Female pilots: Which airline has the highest number? https://t.co/PjHUePbfLK,91,0.0772,0.86,0.0,0.14
91,BBC News (UK),Wed Nov 07 01:47:58 +0000 2018,The old-world charm of India's photo studios https://t.co/vjvJ6YIcHz,92,0.4019,0.722,0.0,0.278
92,BBC News (UK),Wed Nov 07 01:19:16 +0000 2018,"US mid-term elections 2018: Trump's invincible, but for how much longer? https://t.co/0FT9Y4rtF7",93,0.2732,0.84,0.0,0.16
93,BBC News (UK),Wed Nov 07 01:12:06 +0000 2018,Northern white rhino: New hopes for IVF rescue https://t.co/lbeZe7eykJ,94,0.7269,0.534,0.0,0.466
94,BBC News (UK),Wed Nov 07 00:49:26 +0000 2018,"Follow our coverage of the US mid-term #ElectionDay results:
•  BBC News Channel 
•  Radio - @BBCRadio4 
•  Online… https://t.co/Xf95ynDTZv",95,0.0,1.0,0.0,0.0
